,VaR_MC_GARCH_T_COPULA,actual_loss,exception
2022-12-09,54773.205587739954,5566.680744865727,0
2022-12-12,50467.414693792074,-20059.197527724875,0
2022-12-13,52819.76510836426,-22677.499851294717,0
2022-12-14,57030.15765788134,12691.443083968275,0
2022-12-15,54710.21487343115,60110.8668415266,1
2022-12-16,58739.600836662554,13347.83155137629,0
2022-12-19,47570.924089234286,-19161.445850581906,0
2022-12-20,35273.78480774289,-18907.18291531976,0
2022-12-21,40413.602346217915,-12814.007300791847,0
2022-12-22,43311.0155465028,25044.858154586556,0
2022-12-23,40806.166632368724,-10305.351293796875,0
2022-12-27,39994.79977542525,-5595.429848883667,0
2022-12-28,35695.883977366306,14866.2314893167,0
2022-12-29,35139.39804394574,-19973.166686092794,0
2022-12-30,40017.71152538719,-2949.916388412378,0
2023-01-03,39064.544817213406,1240.940456463284,0
2023-01-04,35800.16445744185,-6769.205328476837,0
2023-01-05,36666.541699731075,21112.61769334272,0
2023-01-06,34996.6030580273,-30212.27911372197,0
2023-01-09,46862.17628882538,-3676.254542251073,0
2023-01-10,43566.137586084034,-15011.43143141567,0
2023-01-11,43785.95575320734,-15093.4445289664,0
2023-01-12,48723.80695129165,-8028.925118061506,0
2023-01-13,47040.17620199524,-19904.06277775612,0
2023-01-17,47134.91637521113,6512.152132020372,0
2023-01-18,44445.90889849589,35276.52925358823,0
2023-01-19,46791.62172898555,-2712.1860654080883,0
2023-01-20,43951.93147819115,-29179.57818442119,0
2023-01-23,54097.18319527571,-23907.46025604334,0
2023-01-24,61706.83415293292,1617.413838796685,0
2023-01-25,57789.10999274785,-4928.581543789804,0
2023-01-26,52764.15293340578,-13697.76170229766,0
2023-01-27,51932.49018112878,-4164.975204525623,0
2023-01-30,49158.402515900685,25410.73612152473,0
2023-01-31,54084.185565118634,-29759.89565088788,0
2023-02-01,58425.98906814063,-23534.673910187827,0
2023-02-02,61876.97925772067,15436.610910875606,0
2023-02-03,58254.027685195186,31200.792003172646,0
2023-02-06,37261.96232336462,1332.720484523452,0
2023-02-07,34013.71241568216,-13471.757442855112,0
2023-02-08,36352.99298400324,10384.382632413724,0
2023-02-09,35318.25522612664,12887.971953809903,0
2023-02-10,30991.323700299676,-6655.527902391403,0
2023-02-13,32188.367288989964,-4822.331830713785,0
2023-02-14,30812.016014524288,331.6358749460228,0
2023-02-15,30352.472486984523,4645.183159289238,0
2023-02-16,30505.245822322948,10734.4607143193,0
2023-02-17,26852.287918494603,3434.193132655145,0
2023-02-21,25818.698025112706,10863.691673188332,0
2023-02-22,24727.445910543865,8431.780882853891,0
2023-02-23,24094.528874449432,1985.8483900699796,0
2023-02-24,23207.724839805407,10386.87881545235,0
2023-02-27,22404.075890644828,-1945.697903551677,0
2023-02-28,22939.430064792537,-2441.8379574454016,0
2023-03-01,21205.924345631473,-4664.522266615075,0
2023-03-02,21825.18806631126,-7927.453639839146,0
2023-03-03,20843.871561125023,-10289.156817497656,0
2023-03-06,23570.693069932793,3763.8200854377474,0
2023-03-07,22802.37618783505,22416.455848106503,0
2023-03-08,24335.098656940783,2526.17610604731,0
2023-03-09,23553.37038730038,611.3407886093028,0
2023-03-10,20665.230664013576,-2832.3905080314144,0
2023-03-13,19534.666821466013,-13760.783514028177,0
2023-03-14,18519.84609245233,-4352.532127642386,0
2023-03-15,18104.12639684804,-483.8431699076928,0
2023-03-16,17858.314476893727,-4457.8689029993,0
2023-03-17,17557.562762141006,-16961.70654476188,0
2023-03-20,16380.822442652643,-13947.97476993683,0
2023-03-21,26484.755057385893,-739.4945906511512,0
2023-03-22,27146.278595506534,8222.669864444055,0
2023-03-23,25944.048782932816,-10302.959910441055,0
2023-03-24,24280.756339675383,4807.068999076173,0
2023-03-27,24495.98637941765,2983.2432198511888,0
2023-03-28,23549.666469161533,-4168.716390209887,0
2023-03-29,22870.809049680494,-14808.278669267722,0
2023-03-30,26359.81701497054,-14746.287742533688,0
2023-03-31,28384.00208352012,-14807.76476014334,0
2023-04-03,32468.229723979464,-7857.903334651426,0
2023-04-04,31919.842069768423,-5266.626116623793,0
2023-04-05,30105.20229653166,6817.759780190794,0
2023-04-06,27350.738652215412,2073.0326314104905,0
2023-04-10,27466.008961276017,394.6303114292041,0
2023-04-11,27106.206001103637,-6020.565262882456,0
2023-04-12,25589.63718095046,2653.828025647739,0
2023-04-13,25284.83196184468,-37548.46783905286,0
2023-04-14,35264.28680187362,16370.055255118325,0
2023-04-17,34939.44497943042,-4603.5617427170655,0
