refit_idx,date,t,mu,omega,alpha1,beta,alpha_plus_beta,raw_mu,raw_omega,raw_alpha1,raw_beta,raw_alpha_plus_beta,nu,loglikelihood,convergence_flag,optimizer_warning_count,stationarity_fallback_used
68,2021-07-19,3900,0.0005364719213319327,4.5916573828296803e-07,0.055478518912146245,0.9412317839954355,0.9967103029075818,0.0005364719213319327,4.5916573828296803e-07,0.055478518912146245,0.9412317839954355,0.9967103029075818,5.977892794269254,-4683.59325703664,0,0,0
69,2021-09-28,3950,0.0005314735101684679,4.5455860127494914e-07,0.054844253015124154,0.941770715392877,0.9966149684080012,0.0005314735101684679,4.5455860127494914e-07,0.054844253015124154,0.941770715392877,0.9966149684080012,6.015577454330183,-4756.57030554445,0,0,0
70,2021-12-08,4000,0.0005451191369150084,4.389513310145667e-07,0.054163159453110225,0.9428846810900909,0.9970478405432012,0.0005451191369150084,4.389513310145667e-07,0.054163159453110225,0.9428846810900909,0.9970478405432012,5.95914462767949,-4832.091901247282,0,0,0
71,2022-02-18,4050,0.0005455090157723246,4.351191740224165e-07,0.0540036074844869,0.9429303277565568,0.9969339352410437,0.0005455090157723246,4.351191740224165e-07,0.0540036074844869,0.9429303277565568,0.9969339352410437,6.058491266356191,-4906.973021066864,0,0,0
72,2022-05-03,4100,0.0005375411858227852,4.1548401718949824e-07,0.05468389822217405,0.9428680675043858,0.9975519657265598,0.0005375411858227852,4.1548401718949824e-07,0.05468389822217405,0.9428680675043858,0.9975519657265598,6.148765843918546,-4995.397748884531,0,0,0
73,2022-07-15,4150,0.0005266831682412292,4.038303512875273e-07,0.05551400440848693,0.942457671499788,0.997971675908275,0.0005266831682412292,4.038303512875273e-07,0.05551400440848693,0.942457671499788,0.997971675908275,6.206289751929024,-5096.138853159338,0,0,0
74,2022-09-26,4200,0.0005266478432195937,3.79174323979178e-07,0.05492284612281564,0.9436321213883697,0.9985549675111853,0.0005266478432195937,3.79174323979178e-07,0.05492284612281564,0.9436321213883697,0.9985549675111853,6.151205527841144,-5199.941182432298,0,0,0
75,2022-12-06,4250,0.0005266478432195937,3.79174323979178e-07,0.05492284612281564,0.9436321213883697,0.9985549675111853,0.0005276166355090001,3.5687668146619146e-07,0.05542895970994902,0.9438258937561265,0.9992548534660755,6.138505862924711,-5319.572388746781,0,0,1
76,2023-02-17,4300,0.0005298336564611407,3.730613639339835e-07,0.05520071478275867,0.9435555814563221,0.9987562962390808,0.0005298336564611407,3.730613639339835e-07,0.05520071478275867,0.9435555814563221,0.9987562962390808,6.165999730503006,-5422.287116369733,0,0,0
77,2023-05-02,4350,0.0005352903294128081,4.1021183617291676e-07,0.05740091641224861,0.9411636253605381,0.9985645417727868,0.0005352903294128081,4.1021183617291676e-07,0.05740091641224861,0.9411636253605381,0.9985645417727868,6.057996063214983,-5503.31004438178,0,0,0
78,2023-07-14,4400,0.000542500554118832,4.059780136778415e-07,0.05600015333349651,0.942240601338409,0.9982407546719055,0.000542500554118832,4.059780136778415e-07,0.05600015333349651,0.942240601338409,0.9982407546719055,6.112194853019894,-5577.318409682448,0,0,0
79,2023-09-25,4450,0.0005318333000087055,3.970487856178151e-07,0.055376805869236184,0.9428269588575148,0.998203764726751,0.0005318333000087055,3.970487856178151e-07,0.055376805869236184,0.9428269588575148,0.998203764726751,6.202430267340095,-5649.8163499668935,0,0,0
80,2023-12-05,4500,0.0005424623774615938,3.8416255767630105e-07,0.05531098066912567,0.9435568622238181,0.9988678428929437,0.0005424623774615938,3.8416255767630105e-07,0.05531098066912567,0.9435568622238181,0.9988678428929437,6.053535427028754,-5734.227579763716,0,0,0
81,2024-02-16,4550,0.0005489609764177804,3.707896383177192e-07,0.054317702007353516,0.9445954648115792,0.9989131668189327,0.0005489609764177804,3.707896383177192e-07,0.054317702007353516,0.9445954648115792,0.9989131668189327,6.084872249914925,-5830.071656679313,0,0,0
82,2024-04-30,4600,0.0005489609764177804,3.707896383177192e-07,0.054317702007353516,0.9445954648115792,0.9989131668189327,0.0005565492105097778,3.6473070660319935e-07,0.05397222100074618,0.9451300268485726,0.9991022478493188,6.023319807021456,-5927.240779222178,0,0,1
83,2024-07-12,4650,0.0005489609764177804,3.707896383177192e-07,0.054317702007353516,0.9445954648115792,0.9989131668189327,0.0005623948154727093,3.522452884785096e-07,0.053502321780707345,0.9457110898638152,0.9992134116445226,6.076172900966334,-6028.187185313236,0,0,1
84,2024-09-23,4700,0.0005489609764177804,3.707896383177192e-07,0.054317702007353516,0.9445954648115792,0.9989131668189327,0.0005645625313341123,3.345867612715332e-07,0.05321228606171464,0.9462991737387828,0.9995114598004975,6.124821197837786,-6130.857087495502,0,0,1
85,2024-12-03,4750,0.0005489609764177804,3.707896383177192e-07,0.054317702007353516,0.9445954648115792,0.9989131668189327,0.0005710444508093165,3.261993739764521e-07,0.05247805978494391,0.9471106326990212,0.9995886924839651,6.103348011521898,-6229.900793479797,0,0,1
