,pnl,actual_loss,VaR_HS_VolAdj,ES_HS_VolAdj,tail_scenarios,snapshot_date,current_portfolio_value,avg_vol_ratio,exception
2016-07-21,6681.088518249337,-6681.088518249337,20818.977498306194,22892.99133965336,5,2016-07-20,1686568.9969800902,1.040485384476351,0
2016-07-22,-2894.0497642317787,2894.0497642317787,20588.577327171573,22895.02820616127,5,2016-07-21,1693250.0854983395,1.0422930282328138,0
2016-07-25,-5868.061479444383,5868.061479444383,21117.136709696148,23210.355088081862,5,2016-07-22,1690356.0357341077,1.0380752051763034,0
2016-07-26,2387.0412287316285,-2387.0412287316285,20512.61016421183,22570.840800948812,5,2016-07-25,1684487.9742546633,1.030959714738796,0
2016-07-27,5429.2415907713585,-5429.2415907713585,20293.026171901263,22399.689029425102,5,2016-07-26,1686875.015483395,1.0248395221361737,0
2016-07-28,580.0887473770417,-580.0887473770417,20468.68395625474,22709.8891598647,5,2016-07-27,1692304.2570741663,1.0213979632809285,0
2016-07-29,2189.410949187586,-2189.410949187586,20480.14637143747,22713.167062693323,5,2016-07-28,1692884.3458215434,1.0139826452302396,0
2016-08-01,5965.946536167525,-5965.946536167525,20928.957250190666,23150.059613677906,5,2016-07-29,1695073.756770731,1.0165293911222026,0
2016-08-02,4721.139312594896,-4721.139312594896,20836.969825113658,23140.820197546203,5,2016-08-01,1701039.7033068985,1.0213350630416766,0
2016-08-03,-744.6542425728403,744.6542425728403,20113.05833637668,22793.77428289,5,2016-08-02,1705760.8426194934,1.0199948219185198,0
2016-08-04,-3274.117442721734,3274.117442721734,20137.664984828793,22507.161537982618,5,2016-08-03,1705016.1883769205,1.0143585848844028,0
2016-08-05,-2281.061169140041,2281.061169140041,20254.10112330271,22628.60157594895,5,2016-08-04,1701742.0709341988,1.013001272654451,0
2016-08-08,-2293.2742498172447,2293.2742498172447,21300.528067187173,23601.614545911503,5,2016-08-05,1699461.0097650588,1.022942484434625,0
2016-08-09,190.27215074608102,-190.27215074608102,21130.742340654135,23482.00746285608,5,2016-08-08,1697167.7355152415,1.01981967236408,0
2016-08-10,-1921.3755257900339,1921.3755257900339,21155.258558906848,23590.148140513244,5,2016-08-09,1697358.0076659876,1.0162011592151703,0
2016-08-11,4544.932900824584,-4544.932900824584,20765.29027152504,23352.32395904418,5,2016-08-10,1695436.6321401976,1.0133553552861967,0
2016-08-12,-7557.90515907784,7557.90515907784,21748.71711898339,24089.4999908973,5,2016-08-11,1699981.5650410221,1.0180275694250964,0
2016-08-15,7106.54970564018,-7106.54970564018,21396.827890021726,23650.19268006282,5,2016-08-12,1692423.6598819443,1.001255923126675,0
2016-08-16,943.7060258907732,-943.7060258907732,22076.734166079434,24213.696251253878,5,2016-08-15,1699530.2095875845,1.0003873911673364,0
2016-08-17,2467.9898998383433,-2467.9898998383433,20750.356268626172,23449.464569170166,5,2016-08-16,1700473.9156134753,1.001129094355017,0
2016-08-18,2163.585284183966,-2163.585284183966,21383.88222778309,23940.085564379253,5,2016-08-17,1702941.9055133136,1.0025754524068242,0
2016-08-19,-2412.470323220128,2412.470323220128,22095.315953543875,24309.319811418092,5,2016-08-18,1705105.4907974976,0.9936067545351502,0
2016-08-22,-4149.581514459336,4149.581514459336,21671.531747804955,24172.483434620266,5,2016-08-19,1702693.0204742774,0.9953012448647875,0
2016-08-23,1461.7882828628644,-1461.7882828628644,21795.988616686547,24364.67228603228,5,2016-08-22,1698543.438959818,0.99556300151363,0
