,VaR_MC_GARCH_COPULA_V3,actual_loss,exception
2022-06-03,57451.38624970487,28982.62000094159,0
2022-06-06,61474.71240341672,-2885.6532861801616,0
2022-06-07,58533.15194301261,-13010.51104347831,0
2022-06-08,58453.52648960643,15442.794228765246,0
2022-06-09,58884.60391453564,31372.359981069545,0
2022-06-10,67518.60390138061,14858.839804646244,0
2022-06-13,69704.64194376276,31330.65921092412,0
2022-06-14,93166.99124672978,10441.027036202002,0
2022-06-15,83818.67372745088,-8518.849117965652,0
2022-06-16,82704.7449959565,7111.4230426474605,0
2022-06-17,85745.14103402659,7423.200321768103,0
2022-06-21,78867.01729107475,-9536.203862511087,0
2022-06-22,77942.4536145439,5406.079597083481,0
