,VaR_full,VaR_diagonal,ES_full,ES_diagonal,diversif_benefit,sigma_full,sigma_diagonal
2016-10-21,8321.436488640591,9043.993655998724,9541.269685140807,10369.077795417383,722.5571673581326,3599.747244898788,3910.344458420022
2016-10-24,8323.176598958282,9046.016302621165,9542.314794857795,10370.446596954322,722.839703662883,3597.696287026218,3908.4149511301034
2016-10-25,8306.394607692782,9032.46318842905,9524.007321059076,10355.838333057854,726.0685807362679,3593.194563707118,3905.3011875007023
2016-10-26,8293.910712787721,9019.569220927146,9510.779244149313,10342.140450523282,725.6585081394242,3590.9984707258645,3902.9288213999284
2016-10-27,8286.290417736043,8995.142840974566,9502.434010881216,10314.541082064985,708.8524232385225,3588.859166471182,3893.5652816435677
2016-10-28,8273.65316792149,8987.16881165665,9488.765033343348,10306.214590798809,713.5156437351598,3585.8145214818996,3892.525160805068
2016-10-31,8270.893526732641,8985.633660150712,9485.921974277357,10304.774386117573,714.7401334180704,3585.568353994183,3892.8053504011627
2016-11-01,8259.85411207982,8956.637912727256,9474.899636498054,10273.180114974568,696.7838006474358,3585.618748120669,3885.1370654035995
2016-11-02,8258.15095041003,8956.970430679788,9473.110682182012,10273.723366575801,698.8194802697581,3585.3655726513784,3885.758943766557
2016-11-03,8242.178995493894,8938.227138094304,9453.714667477701,10251.152328630924,696.0481426004098,3575.261117530623,3874.4632060778454
2016-11-04,8220.279580424758,8908.223539439374,9430.128185977472,10218.281171533303,687.9439590146158,3570.282557548229,3866.00099531552
2016-11-07,8219.10873071753,8905.825197643155,9428.08725081791,10214.833942238867,686.7164669256254,3567.714921482208,3862.9057115564397
2016-11-08,8217.812061456982,8934.349267405047,9426.745031949227,10247.656286026831,716.5372059480651,3567.5805038611275,3875.589986855366
2016-11-09,8224.544112589363,8940.447636676954,9433.856291081776,10254.0415583349,715.903524087591,3568.6995527259714,3876.4366422972203
2016-11-10,8209.154418537699,8949.946082294371,9413.365256512827,10262.063982352334,740.7916637566723,3553.6454153856566,3872.0808789820467
