,VaR,actual_loss,exception,cvm_pvalue
2018-01-12,10967.94689328812,-9892.04158497116,0,0.036
2018-01-16,11416.334257858774,984.8851046294442,0,0.036
2018-01-17,11100.38377339686,-6734.635815476297,0,0.036
2018-01-18,11137.119112182781,-447.15853682271086,0,0.036
2018-01-19,11112.82493033248,-6474.422913837436,0,0.036
2018-01-22,11218.169982047657,-8552.27705513053,0,0.036
2018-01-23,11289.771436659827,-526.9992585807106,0,0.036
2018-01-24,11397.772305395863,-5213.213359141444,0,0.036
2018-01-25,11171.962032557694,1219.5218449461388,0,0.036
2018-01-26,11295.191894382435,-10964.250050543338,0,0.036
2018-01-29,10822.774470884693,2509.8927759868225,0,0.036
2018-01-30,11266.37550203987,7490.812348122284,0,0.036
2018-01-31,11063.897144910155,-1616.567669025561,0,0.036
2018-02-01,10995.76106701221,-4802.650386370251,0,0.036
2018-02-02,10800.944775588265,-3245.7134235247804,0,0.036
2018-02-05,11013.374746296891,-12895.068407529008,0,0.036
2018-02-06,10983.50936822329,10343.95664383872,0,0.036
2018-02-07,11127.088833688787,411.2601783059594,0,0.036
2018-02-08,10938.382561319893,-2851.917842472556,0,0.036
2018-02-09,11123.254450552327,7207.301230884716,0,0.036
2018-02-12,11135.317405258045,-531.7895471505108,0,0.036
2018-02-13,11259.906743042377,1030.4068146110594,0,0.036
2018-02-14,11361.082810380503,-6306.029250838994,0,0.036
2018-02-15,11501.302798745897,-1711.2830525282543,0,0.036
2018-02-16,10982.635266971016,2518.039023770172,0,0.036
2018-02-20,11171.340397303598,2727.270785366738,0,0.036
2018-02-21,11225.12456857503,-1666.23706692202,0,0.036
2018-02-22,11468.499454150406,2763.5406584908324,0,0.036
2018-02-23,11176.104809087987,4151.728639874496,0,0.036
2018-02-26,11257.993712209018,1707.516509392105,0,0.036
2018-02-27,11276.409650956724,-1624.10144579932,0,0.036
2018-02-28,11158.929480039846,4147.206627452673,0,0.036
2018-03-01,11178.17950387765,4478.1950773785575,0,0.036
2018-03-02,11301.89845776617,-4825.596026507679,0,0.036
2018-03-05,11010.100639968221,-497.2097416356828,0,0.036
2018-03-06,11072.133146628334,-2329.458975758387,0,0.036
2018-03-07,11400.371617745552,-317.0825846599522,0,0.036
2018-03-08,11246.10371986339,4304.179048536747,0,0.036
2018-03-09,11275.763220101968,82.35717847361047,0,0.036
2018-03-12,11343.485782092723,2611.581204255099,0,0.036
2018-03-13,11305.032852428634,1946.668510936572,0,0.036
2018-03-14,11444.116092585495,1341.3413716891134,0,0.036
2018-03-15,11459.430233235498,1159.543683353147,0,0.036
2018-03-16,11349.935446500318,407.0255443436247,0,0.036
2018-03-19,11287.770415258374,-61.50442450307901,0,0.036
2018-03-20,11179.028625930336,-2334.324254281653,0,0.036
2018-03-21,11281.13544265743,-1533.5925205070005,0,0.036
2018-03-22,11147.709054732404,1593.6361748357867,0,0.036
2018-03-23,11116.904343479278,-1952.434289258766,0,0.036
2018-03-26,11364.572318659291,-1481.8453805372685,0,0.036
2018-03-27,11284.855049648904,4910.708598135355,0,0.036
2018-03-28,11347.210876307643,5623.217817898749,0,0.036
2018-03-29,11218.330131418508,6864.989586064056,0,0.036
2018-04-02,11315.689832690095,-4903.256342284456,0,0.036
2018-04-03,11139.669645073216,-298.8621461185103,0,0.036
2018-04-04,11018.6853582931,1240.955633993491,0,0.036
2018-04-05,10926.440429273836,-1121.1040509240293,0,0.036
2018-04-06,11304.12616365213,2861.248493048185,0,0.036
2018-04-09,11326.17966733949,-1904.0213662941612,0,0.036
2018-04-10,11174.709508253403,-1829.4912514162825,0,0.036
2018-04-11,11080.33173956311,-1348.3142037281946,0,0.036
2018-04-12,11069.93037841687,1304.4134514178631,0,0.036
2018-04-13,10896.996233586755,1003.9257508610972,0,0.036
2018-04-16,11136.050298412885,-269.127453542299,0,0.036
2018-04-17,11035.128301989267,339.77887284002145,0,0.036
2018-04-18,10991.870601214245,-3591.6538655908066,0,0.036
2018-04-19,11122.54487211207,-3173.882020136473,0,0.036
2018-04-20,11090.037599659221,-659.6238417178461,0,0.036
2018-04-23,11184.234222735113,2313.3473480540933,0,0.036
2018-04-24,11172.878932264675,-3619.161549928384,0,0.036
2018-04-25,11123.165889076008,-825.0863570057857,0,0.036
