,VaR_MC_T_COPULA,actual_loss,exception
2010-12-31,42645.9484015536,-4619.725184615792,0
2011-01-03,41769.83380913943,-5652.04281483298,0
2011-01-04,40372.56064048357,14941.832584023978,0
2011-01-05,41323.8863961289,-7310.530407576097,0
2011-01-06,45463.428747430116,10047.396254685864,0
2011-01-07,48715.54505492728,11829.737961587456,0
2011-01-10,45624.72044221475,368.94789828846297,0
2011-01-11,44068.020308914536,-9394.057535868673,0
2011-01-12,45501.988355947244,-8598.82608189055,0
2011-01-13,50168.94316956287,7091.254361580668,0
2011-01-14,45641.17982698137,-1574.3002882916414,0
2011-01-18,45777.18711342748,-4724.253887367633,0
2011-01-19,49212.80509204188,2218.332355667864,0
2011-01-20,46628.340184958106,4988.548334219797,0
2011-01-21,40506.98278151256,1036.960997572236,0
2011-01-24,37724.468046049136,-360.05249196529644,0
2011-01-25,38476.17599977626,5595.018266003974,0
2011-01-26,40086.61841523546,-12605.124164137054,0
2011-01-27,39501.84980940912,15444.796529820322,0
2011-01-28,42428.81303013111,-4169.979834490688,0
2011-01-31,37943.32402171524,-266.9598308745517,0
2011-02-01,42591.022531452276,-14809.708468805766,0
2011-02-02,40019.47015149598,-2210.99948455707,0
2011-02-03,42065.43572689272,-11270.1874074947,0
2011-02-04,40115.969634641915,34.999457481510944,0
2011-02-07,47011.88443050891,-1292.1535558058931,0
2011-02-08,43702.47545608486,-12048.483694879456,0
2011-02-09,47736.86241324588,6742.085798518311,0
2011-02-10,38870.182705348016,-3864.931023661881,0
2011-02-11,40071.72044495153,5915.388910303217,0
2011-02-14,46452.218155207695,-541.877624004338,0
2011-02-15,45123.49731449983,-2687.575661228984,0
2011-02-16,41947.19229563363,-4053.6418088130654,0
2011-02-17,41486.19459178785,-5297.2242628014255,0
2011-02-18,46309.39850167385,-4398.141009585049,0
2011-02-22,41241.20956739395,12475.19618395536,0
2011-02-23,47399.129714127375,-4638.8238568779125,0
2011-02-24,39317.43670666092,5331.473122818098,0
2011-02-25,37727.4520401297,-7157.266084332018,0
2011-02-28,49251.65527838347,-2077.300399317428,0
2011-03-01,45418.946448593175,-4663.797995797368,0
2011-03-02,40812.35496932421,-1348.4088819168464,0
2011-03-03,41362.21763498461,-11508.425913255163,0
2011-03-04,45150.68272436702,-832.713817562254,0
2011-03-07,42941.899868751185,-1685.9043572140822,0
2011-03-08,37933.17704651869,-2760.913030434893,0
2011-03-09,41258.16710576832,6032.132006196932,0
2011-03-10,38815.15780736805,17943.692230027104,0
2011-03-11,37974.707061110086,-2294.251787820549,0
2011-03-14,37561.04385238558,-2100.529690739534,0
2011-03-15,40795.479033355055,13613.903790740826,0
2011-03-16,35822.90010689595,8448.322682682485,0
2011-03-17,41063.92488092364,-3961.655546874085,0
2011-03-18,39278.84292581924,-11703.793126694252,0
2011-03-21,40356.69258548422,-11251.821237130694,0
2011-03-22,41277.56644193071,411.2064119102248,0
2011-03-23,37219.89193238605,-6288.767561616086,0
2011-03-24,36768.6579062872,1855.62000346234,0
2011-03-25,36103.43987625972,-4408.127322380026,0
2011-03-28,36435.71854081468,5797.278044840522,0
2011-03-29,36981.200758888976,-2022.360672850833,0
2011-03-30,37315.51616903586,-3067.989881560363,0
2011-03-31,39415.08634241046,-4268.200327462733,0
2011-04-01,37363.95154214844,1551.966372171281,0
2011-04-04,38843.1140992327,-4290.129447101969,0
2011-04-05,36642.838426939205,-12236.069819794586,0
2011-04-06,38641.0584434368,-5511.571469112315,0
2011-04-07,39698.54433152086,-3515.090517708402,0
2011-04-08,41069.29740179415,-3211.961170219421,0
2011-04-11,40065.02558842055,2598.6919556812936,0
2011-04-12,36226.89839683675,11215.446834438906,0
2011-04-13,36940.388058402175,-531.1678201872846,0
2011-04-14,34899.94463925104,-15494.002224095006,0
2011-04-15,36677.27048996542,-2076.9145042071705,0
2011-04-18,40316.82108201893,502.22091888205705,0
2011-04-19,37877.74042350943,3406.5014500077286,0
2011-04-20,39430.02007183262,-10783.6230283914,0
2011-04-21,40006.2262847701,-5711.243623439076,0
2011-04-25,37824.21114368545,625.2774880626778,0
2011-04-26,43787.1595254461,1515.4464671502346,0
2011-04-27,42584.66952992833,-21022.867360138836,0
2011-04-28,39758.312297465265,-3012.2467281497084,0
2011-04-29,43799.5191123135,-13307.639163755794,0
2011-05-02,42725.71438445099,11623.188290865968,0
2011-05-03,43759.09020621498,4890.480358660554,0
2011-05-04,38260.755654668406,14269.464119141125,0
2011-05-05,40406.00734100625,27448.404687094207,0
2011-05-06,41202.27459711461,-5166.972085042295,0
2011-05-09,40523.418972872125,-5509.786823479559,0
2011-05-10,38939.554717173945,-9261.44740943122,0
2011-05-11,41836.640823697024,12078.45537338177,0
2011-05-12,38039.20394823519,698.1831066080208,0
2011-05-13,39448.23872305071,9023.657069136378,0
2011-05-16,38875.67037871887,8531.385581883653,0
2011-05-17,40942.344850572816,3336.197222019255,0
2011-05-18,36728.84070232662,-12255.688115897552,0
2011-05-19,36973.32699109676,-143.4509315399912,0
2011-05-20,37798.24669988302,-5815.331416266175,0
2011-05-23,39807.9493216255,8411.122584344535,0
