,VaR_MC_COPULA,actual_loss,exception
2009-08-17,40509.94094343777,16018.830782299205,0
2009-08-18,37944.85482516429,-5355.846093882819,0
2009-08-19,39301.60480841472,-1994.2620173563475,0
2009-08-20,37226.21727494533,1106.5495116298791,0
2009-08-21,39797.69685627311,-20435.42953007827,0
2009-08-24,40552.30101800297,11450.327027977788,0
2009-08-25,39459.871929878616,-421.7386045011499,0
2009-08-26,39206.42414442292,1408.716749550997,0
2009-08-27,41109.42682020899,-6617.90594026353,0
2009-08-28,37594.44317185826,-2617.5955498559574,0
2009-08-31,40253.97802072122,8700.28112422278,0
2009-09-01,41542.330375842306,5595.619112805447,0
2009-09-02,40154.827001745005,-5254.259466223943,0
2009-09-03,38053.694199296326,-8722.593589537708,0
2009-09-04,37016.222572614075,-11503.433284476328,0
2009-09-08,39897.18961731352,-6074.23541050055,0
2009-09-09,41167.74413832139,-1911.193456301924,0
2009-09-10,39377.490701349554,1174.3725142660917,0
2009-09-11,45084.50090652206,-4190.767239381663,0
2009-09-14,44015.07236267877,-3453.133890440284,0
2009-09-15,36643.66254778373,-9563.718713760994,0
2009-09-16,39322.05577362826,-11376.422467670374,0
2009-09-17,39145.59331951191,6249.041273203078,0
2009-09-18,37598.93542391358,-638.895385263254,0
2009-09-21,36072.33692524386,3378.033706309584,0
2009-09-22,38819.89521347322,-9316.894615878522,0
2009-09-23,41960.47573547193,9921.6172921065,0
2009-09-24,38021.64871449723,14232.218812127798,0
2009-09-25,39081.63788866371,7616.080095439618,0
2009-09-28,42379.18353996988,-5624.10535488516,0
2009-09-29,39863.00674760753,-271.0521077148044,0
2009-09-30,37324.35793589626,-7342.333660513935,0
2009-10-01,36182.49653960802,17605.360039264466,0
2009-10-02,37804.7841277097,-5256.150596638963,0
2009-10-05,38202.63653622921,-10162.805222717436,0
2009-10-06,38696.986777939965,-16670.12330617702,0
2009-10-07,37036.21380347032,2757.1617528472666,0
2009-10-08,37219.533197654884,-12682.91469489083,0
2009-10-09,37906.00373747772,-3798.417373343558,0
2009-10-12,37290.09178942134,-6321.7515666092495,0
2009-10-13,38444.25615950106,549.9759291732134,0
2009-10-14,40128.058216346784,-12752.621786604026,0
2009-10-15,40966.220470887536,2916.553677127701,0
2009-10-16,42312.30650893986,5466.901650359863,0
2009-10-19,40842.82154864261,-7312.646389916616,0
2009-10-20,43430.01676826797,10636.421174691444,0
2009-10-21,39890.40769114677,-5542.979491224137,0
2009-10-22,47026.03198058644,-4639.566268425014,0
2009-10-23,40640.110918820596,1843.15934354817,0
2009-10-26,35824.24028353641,8766.02303160341,0
2009-10-27,36714.53738142568,7645.702987218515,0
2009-10-28,39355.669357417864,14060.783657741082,0
2009-10-29,39238.61133296045,-20979.43394395315,0
2009-10-30,34288.440750071866,15474.11075333258,0
2009-11-02,36217.56836660513,-10586.86244411253,0
2009-11-03,38965.29940769211,-14155.836425214064,0
2009-11-04,39629.30002511135,-10420.736056503778,0
2009-11-05,38840.697887199494,-2625.4421518339127,0
2009-11-06,40160.85396360588,132.66600372610765,0
2009-11-09,37959.027318165914,-18819.78837944674,0
2009-11-10,43907.557539020076,1077.6363975248564,0
2009-11-11,39527.99315169409,-7672.753585466994,0
2009-11-12,39762.926653468334,15321.065578267837,0
2009-11-13,41421.94610789904,-7636.334995536517,0
2009-11-16,39150.10035640779,-7322.761814494317,0
2009-11-17,44587.527132955576,-29.74714391536924,0
2009-11-18,46679.623221053094,-3924.079969785956,0
2009-11-19,44948.103189235844,4249.195843866733,0
2009-11-20,41271.38131666082,-1477.6724290955503,0
2009-11-23,40746.916570649286,-11407.26780589615,0
2009-11-24,41432.63405462056,319.65134115931505,0
2009-11-25,39455.48548248504,-10815.400792461143,0
2009-11-27,40890.10208382393,14414.15682497259,0
2009-11-30,40850.41140000743,-4757.422292235972,0
2009-12-01,43547.865752362915,-15489.016348410849,0
2009-12-02,41046.83317838477,-10103.333762345525,0
2009-12-03,43284.50899814439,92.72115495661546,0
2009-12-04,43974.56277819775,21715.304423658014,0
2009-12-07,37943.180719005235,6177.152501358466,0
2009-12-08,39150.473810029376,18065.91054880993,0
2009-12-09,39102.68509793526,-4141.428182844006,0
2009-12-10,37123.94401219707,-2982.4165621809566,0
2009-12-11,36050.04915284744,5352.615090922548,0
2009-12-14,39427.820458166825,-7629.304567288553,0
2009-12-15,35738.64297443602,2068.795924119783,0
2009-12-16,38382.29718280706,-6962.622622313502,0
2009-12-17,36561.20468305807,33545.13261641036,0
2009-12-18,40140.635940313005,-11075.15284340909,0
2009-12-21,38725.51996707942,-302.9967952482216,0
2009-12-22,36294.2373646069,-6027.903919154597,0
2009-12-23,39390.64588177114,-4562.378787820981,0
2009-12-24,40032.24935788818,-13323.917785571011,0
2009-12-28,38653.61583400999,-2521.402389859484,0
2009-12-29,38504.98458264619,7789.591202336073,0
2009-12-30,37290.97628650918,3854.857502628852,0
2009-12-31,38146.676571361575,-1944.3371802217089,0
2010-01-04,39146.318116083086,-16820.566374435795,0
2010-01-05,43211.72023675349,6260.4880378139815,0
2010-01-06,42079.542063714354,-14298.754864083778,0
2010-01-07,39775.23889253852,3964.13147754688,0
2010-01-08,48302.519553719685,-3916.4121855084622,0
2010-01-11,51311.263618767356,-10942.309170624529,0
2010-01-12,48377.696229843656,21141.325207434944,0
2010-01-13,50398.6560373293,-11500.247038251293,0
2010-01-14,48194.027901264104,-805.8407339322184,0
2010-01-15,48486.671178951525,14856.145544785646,0
2010-01-19,48285.73773313515,-6096.249625895052,0
2010-01-20,49213.360894348756,21865.157371088677,0
2010-01-21,43293.44821062596,15980.057929777631,0
2010-01-22,41957.1820049255,3571.8973920591625,0
2010-01-25,46124.69538172745,-4336.22548195823,0
2010-01-26,45370.39227045076,2489.1631102743518,0
2010-01-27,50659.48657322155,5606.932726633714,0
2010-01-28,49083.781809474094,2155.7314249952105,0
2010-01-29,46233.48568118544,8854.998383317668,0
2010-02-01,44966.37583912366,-16822.671760357873,0
2010-02-02,44153.991498804586,-5774.725710349774,0
2010-02-03,43805.907748756705,1540.1640044428427,0
2010-02-04,45172.26645290236,32609.567907582183,0
2010-02-05,42740.46834190637,-2762.37649931984,0
2010-02-08,45197.527637214946,3134.135018260815,0
2010-02-09,42563.20950063268,-13925.349805261154,0
2010-02-10,44675.38620562291,-196.2223718428304,0
2010-02-11,45461.828795105364,-10260.513119551946,0
2010-02-12,45940.97045641714,4724.279000165691,0
2010-02-16,48402.41090662586,-17907.31079084747,0
2010-02-17,47214.65218538205,-680.9299447840185,0
2010-02-18,41651.658059245965,-4596.215400956397,0
2010-02-19,43782.12989489469,-535.8846611258473,0
2010-02-22,46788.10658879129,857.8708159416587,0
2010-02-23,42825.90909739556,17171.590575113078,0
2010-02-24,41851.50739924966,-1250.6839535634438,0
2010-02-25,43550.05838719421,-49.59969474730224,0
2010-02-26,48772.8742855626,-5241.040177735229,0
2010-03-01,48987.87032765587,-2310.8030216368097,0
2010-03-02,47912.664511557996,-10528.326275373898,0
2010-03-03,43255.98974030902,-5214.591041088704,0
2010-03-04,50651.41493087725,6225.007227209726,0
2010-03-05,52742.00337837548,-11157.22736976189,0
2010-03-08,49503.31891497247,3061.5170134274667,0
2010-03-09,45452.46275068002,308.0315164576234,0
2010-03-10,48301.05919885767,2265.9355744759314,0
2010-03-11,46513.15586330908,-2897.877231102554,0
2010-03-12,46273.79087481897,2387.488899985879,0
2010-03-15,45356.835165252734,-91.640809593893,0
2010-03-16,44304.35457849436,-12082.55930815429,0
2010-03-17,45311.67935195493,2365.0307577970925,0
2010-03-18,45973.20613777406,-2247.0719494889136,0
2010-03-19,45671.35452274978,12309.992724285752,0
2010-03-22,46532.05395555221,8388.872845751328,0
2010-03-23,47337.68987764899,-3092.7588054317257,0
2010-03-24,44818.088106592106,4632.27162141751,0
2010-03-25,47991.822906190195,-5859.729173342868,0
2010-03-26,45765.07939728426,-6903.403255998255,0
2010-03-29,46966.10150951901,-4825.569357616841,0
2010-03-30,48015.84155835533,4696.065904172033,0
2010-03-31,51704.4753542088,-3054.0427112307725,0
2010-04-01,49608.1056862343,-12718.073219320784,0
2010-04-05,46746.03239305351,-11254.407427150236,0
2010-04-06,45531.62689888028,2215.35459640624,0
2010-04-07,49097.85460101747,1137.022585343948,0
2010-04-08,45133.94191043512,-3108.7880718223905,0
2010-04-09,53152.82726497398,-9076.68495583145,0
2010-04-12,54425.813408426446,2226.9670786243214,0
2010-04-13,50565.39252816654,2705.7675297955243,0
2010-04-14,49771.15393004316,-8853.343343529225,0
2010-04-15,52235.47616227106,-443.4097983579845,0
2010-04-16,50337.721221898995,21985.39975233937,0
2010-04-19,50154.19673425581,-2487.8718540411546,0
2010-04-20,51276.446597489805,-2691.018548600904,0
2010-04-21,48770.83289305907,627.9061487917693,0
2010-04-22,44115.44533090778,2003.3848208105017,0
2010-04-23,45276.11318949564,-13593.923084055452,0
2010-04-26,47722.060290197,3942.02835797794,0
2010-04-27,50402.67992987769,11057.412262751172,0
2010-04-28,46561.38308671396,-6873.139280363013,0
2010-04-29,44774.75926141902,-2841.1532817715224,0
2010-04-30,42121.94448857601,4798.30438919697,0
2010-05-03,45066.64863152542,-6247.918124505558,0
2010-05-04,42279.61295529345,14148.033144522524,0
2010-05-05,45577.83746505269,6064.913489644011,0
2010-05-06,40772.00577943204,2334.445848027633,0
2010-05-07,42725.14621117194,-4051.598829553359,0
2010-05-10,41518.92739910378,-8315.493098446972,0
2010-05-11,42650.311762571524,-9865.4735591011,0
2010-05-12,40046.41717985187,-4875.053493292259,0
2010-05-13,43989.395356231864,8781.785817730417,0
2010-05-14,45136.010730880414,13966.581075266353,0
2010-05-17,42869.5333629554,2654.007425076259,0
2010-05-18,43182.3115848416,10815.214344540684,0
2010-05-19,39458.97780431218,11113.666090449027,0
2010-05-20,44958.4799391211,11386.968196763592,0
2010-05-21,41358.54407087602,4737.382422679388,0
2010-05-24,39488.85714003351,-2988.370557174233,0
2010-05-25,42024.808164733615,1572.866066446817,0
2010-05-26,43392.67117182174,-2597.752253013519,0
2010-05-27,44253.85254503452,-15231.14991257148,0
2010-05-28,41123.19658536908,3058.7338613029697,0
2010-06-01,39598.953298417764,-814.250481652482,0
2010-06-02,45361.62602579559,-4564.442796645011,0
2010-06-03,50170.34825479228,7100.1666247398825,0
2010-06-04,46350.83775320979,12799.944916373928,0
2010-06-07,48688.81707010201,-7520.491924015329,0
2010-06-08,42781.319731635565,833.9022893672391,0
2010-06-09,45617.86957145085,422.1081982604237,0
2010-06-10,46682.92786331861,-4726.415941515808,0
2010-06-11,47067.195032985655,71.81801249947239,0
2010-06-14,46116.140603081236,-3134.0425158205594,0
2010-06-15,46348.10935881876,-12552.559792707218,0
2010-06-16,51934.355871800864,2836.544560390382,0
2010-06-17,43569.831106811966,-5234.440115936748,0
2010-06-18,47555.04626540875,-6015.789014111371,0
2010-06-21,46215.20395991363,12184.55333645458,0
2010-06-22,46117.55080814522,3752.14370167876,0
2010-06-23,44503.74287094984,5342.234382852591,0
2010-06-24,47234.008518626455,-82.17056412368856,0
2010-06-25,46812.63288143482,-6586.8299567416925,0
