,VaR_MC_GARCH_COPULA
2014-08-13,9844.85314220525
2014-08-14,9761.508191689378
2014-08-15,9809.900687998752
2014-08-18,11080.130029464806
2014-08-19,11931.817847815988
2014-08-20,12261.884217850724
2014-08-21,12343.382565197904
2014-08-22,12404.060670992767
2014-08-25,12810.933354970612
2014-08-26,12521.175933751467
2014-08-27,12587.25016774283
2014-08-28,12591.752294689648
2014-08-29,12378.896478814875
2014-09-02,12427.322285354576
2014-09-03,11977.082473485056
2014-09-04,11627.86779016314
2014-09-05,11404.300705101408
2014-09-08,11854.100106355294
2014-09-09,11217.584462708775
2014-09-10,11794.087230724117
2014-09-11,12156.218864108228
2014-09-12,11883.844335315238
2014-09-15,11560.110339278102
2014-09-16,11244.633924411004
2014-09-17,6804.023909849905
2014-09-18,7145.0041777540255
2014-09-19,6975.711710245347
2014-09-22,6883.718225275555
2014-09-23,7300.542683601852
2014-09-24,7364.057382511365
2014-09-25,6669.695063458758
2014-09-26,7513.072638579308
2014-09-29,7260.560732160603
2014-09-30,7679.745345900512
2014-10-01,7276.85242303822
2014-10-02,7981.730615960342
2014-10-03,8356.611132623257
2014-10-06,8342.099108476838
2014-10-07,7582.498239892898
2014-10-08,8288.572635568384
2014-10-09,7748.349450429645
2014-10-10,7431.165671016047
2014-10-13,7303.910925167639
2014-10-14,7411.981971500052
2014-10-15,8104.419630226873
2014-10-16,8381.30665101906
2014-10-17,8335.435037917492
2014-10-20,8136.360161136978
2014-10-21,8351.11934840331
2014-10-22,8193.790054076182
2014-10-23,8450.729515930718
2014-10-24,7885.22173052855
2014-10-27,7733.776317369574
2014-10-28,7660.601106941597
2014-10-29,9573.953730686835
2014-10-30,9647.617875419763
2014-10-31,11139.966408452437
2014-11-03,10536.999174373996
2014-11-04,10357.59434737977
2014-11-05,10479.224263688311
2014-11-06,11196.29400323511
2014-11-07,11062.997667607684
2014-11-10,10747.40800559606
2014-11-11,10305.162991891591
2014-11-12,10519.554379383653
2014-11-13,10119.544921401952
2014-11-14,10416.873383678707
2014-11-17,10521.338742259144
2014-11-18,10889.399060425954
2014-11-19,10504.52341200854
2014-11-20,11000.392391571342
2014-11-21,10809.413859756543
2014-11-24,11098.127671584105
2014-11-25,11858.630421091084
2014-11-26,11422.378400901314
2014-11-28,11180.4998798629
2014-12-01,12587.859431973571
2014-12-02,13397.396700398587
2014-12-03,13705.822105404497
2014-12-04,13708.591476898107
2014-12-05,14561.073805899498
2014-12-08,14341.961205070551
2014-12-09,14379.688853243424
2014-12-10,13618.316949781387
2014-12-11,9787.699756217831
2014-12-12,9885.150931345115
2014-12-15,11593.034030766112
2014-12-16,11179.942564950765
2014-12-17,11402.674034246837
2014-12-18,13017.724363052692
2014-12-19,14554.31060879123
2014-12-22,14898.44731758506
2014-12-23,14902.76394447377
2014-12-24,15035.84875998776
2014-12-26,12900.212941496702
2014-12-29,13294.240319688965
2014-12-30,12825.776540663148
2014-12-31,11649.734614558687
2015-01-02,11766.999893029515
2015-01-05,11010.589661736456
2015-01-06,11208.537900241321
2015-01-07,11355.703252428704
2015-01-08,13248.515922249688
2015-01-09,12485.795571585411
2015-01-12,11957.159797061826
2015-01-13,11111.84325293065
2015-01-14,10422.773396116472
2015-01-15,10496.656634502167
2015-01-16,10378.231978139058
2015-01-20,10507.139825023727
2015-01-21,11208.206316448573
2015-01-22,13172.785397313535
2015-01-23,13525.5624535588
2015-01-26,15842.669986988421
2015-01-27,13649.275005343414
2015-01-28,13095.263585936731
2015-01-29,13181.292189134003
2015-01-30,12971.70696518746
2015-02-02,13371.949112497723
2015-02-03,13388.892943889325
2015-02-04,13104.337472797173
2015-02-05,13598.945077197744
2015-02-06,13727.645947303634
2015-02-09,12739.061161630925
2015-02-10,13142.56498304293
2015-02-11,12860.06554529501
2015-02-12,14035.282748160715
2015-02-13,14086.741454508261
2015-02-17,14427.749433881638
2015-02-18,13925.567053826406
2015-02-19,13519.67395023403
2015-02-20,13711.682071652567
2015-02-23,13875.094857606684
2015-02-24,14388.36562720537
2015-02-25,13540.841542231694
2015-02-26,13334.788602072875
2015-02-27,13970.965678553464
2015-03-02,14113.727302424471
2015-03-03,14561.651278938793
2015-03-04,14240.73208708601
2015-03-05,14575.021426756468
2015-03-06,13707.75388684227
