,VaR_MC_GARCH_COPULA_V3
2014-01-31,25972.121978310424
2014-02-03,25605.639813912094
2014-02-04,24494.923886699733
2014-02-05,25252.085995633817
2014-02-06,24896.0978911896
2014-02-07,25001.707761449285
2014-02-10,26020.8857604386
2014-02-11,27065.04057514994
2014-02-12,26833.23686228172
2014-02-13,26538.631171462122
2014-02-14,27675.03050740023
2014-02-18,28519.298145669436
2014-02-19,26770.423851488384
2014-02-20,28635.933862191097
2014-02-21,29023.777575076314
2014-02-24,27924.503697823653
2014-02-25,27768.442129167517
2014-02-26,28292.97939028428
2014-02-27,28082.989852670667
2014-02-28,27378.473280056565
2014-03-03,26603.365563949737
2014-03-04,28147.011103579945
2014-03-05,27330.486330780357
2014-03-06,28286.058039565833
2014-03-07,28322.682792217154
2014-03-10,28049.556534081934
2014-03-11,26988.3859974227
2014-03-12,27063.321467034853
2014-03-13,19983.83387318198
2014-03-14,25439.78624635972
2014-03-17,25916.66378344187
2014-03-18,24235.15357856402
2014-03-19,22818.352113849505
2014-03-20,29739.885947349416
2014-03-21,29910.978680003544
2014-03-24,28296.59912087347
2014-03-25,31007.63522622922
2014-03-26,29845.512933289363
2014-03-27,28875.3593645324
2014-03-28,29644.143658311554
2014-03-31,28241.857410331217
2014-04-01,27361.12240290162
2014-04-02,28035.014618867313
2014-04-03,27394.691284776116
2014-04-04,27442.145214886285
2014-04-07,26399.939734233485
2014-04-08,27351.617878137826
2014-04-09,28359.820457238067
2014-04-10,28257.39063637736
2014-04-11,28165.7483432479
2014-04-14,27164.453370350293
2014-04-15,26106.358874375663
2014-04-16,26396.062590770183
2014-04-17,26458.883816605274
2014-04-21,25408.203594521507
2014-04-22,25758.214367756736
2014-04-23,25133.509007064524
2014-04-24,24431.28950375634
2014-04-25,25665.711138881736
2014-04-28,24363.046970537038
2014-04-29,24267.229394004884
2014-04-30,25138.619209273205
2014-05-01,24954.29999497801
2014-05-02,27083.113836535424
2014-05-05,24866.626712863093
2014-05-06,25119.52282176739
2014-05-07,25345.97710955462
2014-05-08,25106.836881499472
2014-05-09,23397.775187679596
2014-05-12,23567.60929845071
2014-05-13,23169.017360604455
2014-05-14,23541.718176452407
2014-05-15,22287.406804475588
2014-05-16,24174.061105985093
2014-05-19,23334.553773317315
2014-05-20,23505.979343485084
2014-05-21,23584.39077029925
2014-05-22,22535.94168975196
2014-05-23,24453.440950157503
2014-05-27,19545.631069011182
2014-05-28,15271.680496171517
2014-05-29,16478.158284021363
2014-05-30,16695.991775651175
2014-06-02,16841.067847945254
2014-06-03,18349.89817148695
2014-06-04,18723.080090397038
2014-06-05,19331.888061727215
2014-06-06,23803.93183823966
2014-06-09,23756.44896514597
2014-06-10,24855.237416271008
2014-06-11,23208.393257727283
2014-06-12,23375.500230251233
2014-06-13,22137.891546460585
2014-06-16,22307.97901021361
2014-06-17,23746.778064085058
2014-06-18,23560.701188036106
2014-06-19,25535.398284395953
2014-06-20,28601.386172099068
2014-06-23,23407.829337796185
2014-06-24,24810.91834671029
2014-06-25,23888.86020435921
2014-06-26,23957.62810677572
2014-06-27,23552.811091409676
2014-06-30,23538.072886209873
2014-07-01,23415.151119462433
2014-07-02,23069.33687818062
2014-07-03,23490.196665756408
2014-07-07,23071.577808676582
2014-07-08,22484.000608017854
2014-07-09,23132.895139620043
2014-07-10,22545.382438735312
2014-07-11,23271.13195497096
2014-07-14,21591.047449278845
2014-07-15,22121.770868748994
2014-07-16,23255.70548610352
2014-07-17,23592.245053190803
2014-07-18,22001.119349550983
2014-07-21,21220.869883044248
2014-07-22,22413.299142569223
2014-07-23,21545.662812769966
2014-07-24,21824.398063207867
2014-07-25,22304.39331139926
2014-07-28,22564.8715933385
2014-07-29,22329.580893834718
2014-07-30,21769.77973806714
2014-07-31,24182.20683083977
2014-08-01,29161.63951442895
2014-08-04,26269.990523742203
2014-08-05,11283.668668442628
2014-08-06,20893.98653246973
2014-08-07,26371.96127569469
2014-08-08,23331.201047649974
2014-08-11,23167.60403943101
2014-08-12,23231.492011258983
2014-08-13,23426.243665668408
2014-08-14,23225.07911419049
2014-08-15,24405.585670904708
2014-08-18,23103.02693116466
2014-08-19,22991.726773068345
2014-08-20,22849.77340260454
2014-08-21,23623.321428065134
2014-08-22,23608.586791081554
2014-08-25,23604.72320162879
2014-08-26,24532.533237123338
2014-08-27,23763.61711127155
2014-08-28,22993.44611305059
2014-08-29,23908.650482154342
2014-09-02,23747.328037241674
2014-09-03,27279.649677457113
2014-09-04,26968.797377297822
2014-09-05,28455.41548609833
2014-09-08,27843.073155972143
2014-09-09,28045.903350542136
2014-09-10,28488.33997976466
2014-09-11,28606.407487751676
2014-09-12,28668.358889466912
2014-09-15,29770.059747253865
2014-09-16,29565.377982572027
2014-09-17,26097.624626384924
2014-09-18,25869.97638912149
2014-09-19,25623.977586121113
2014-09-22,25121.99103668613
2014-09-23,25251.155117547703
2014-09-24,23616.50136098778
2014-09-25,25584.57080564419
2014-09-26,24586.52228365509
2014-09-29,24010.94889810126
2014-09-30,24080.044328116353
2014-10-01,24706.492266343623
2014-10-02,23255.05553360851
2014-10-03,22508.25508327161
2014-10-06,21898.63096429811
2014-10-07,22092.631642024066
2014-10-08,21729.101185555577
2014-10-09,25426.287900442916
2014-10-10,25841.984031393687
2014-10-13,26119.090188875845
2014-10-14,26317.995189775782
2014-10-15,37372.48631536244
2014-10-16,17178.499667644002
2014-10-17,17401.40569194813
2014-10-20,19676.897119187273
2014-10-21,25420.66538195265
2014-10-22,29323.257327998028
2014-10-23,29734.106386634314
2014-10-24,27324.391658356653
2014-10-27,26446.854355525174
2014-10-28,24946.588082754864
2014-10-29,25671.214311532618
2014-10-30,25519.880432508755
2014-10-31,23490.468103009192
2014-11-03,21859.996374284012
2014-11-04,21156.647358256807
2014-11-05,20948.21722031345
2014-11-06,21202.43961524495
2014-11-07,20992.009392860844
2014-11-10,22160.862231092302
2014-11-11,22693.2088994956
2014-11-12,22688.91144454855
2014-11-13,23881.4097981145
2014-11-14,23093.27201255936
2014-11-17,25110.949580427976
2014-11-18,25007.991471590918
2014-11-19,25071.031972768596
2014-11-20,25601.58188900798
2014-11-21,26888.566679725493
2014-11-24,27734.374198700847
2014-11-25,28045.889716022946
